Crop grouping,NumApps,A,B,C,D,H
Arable and veg sub 50cm,1,2.7593,-0.9778,2.7593,-0.9778,0
Arable and veg sub 50cm,2,2.4376,-1.01,2.4376,-1.01,0
Arable and veg sub 50cm,3,2.0244,-0.9956,2.0244,-0.9956,0
Arable and veg sub 50cm,4,1.8619,-0.9861,1.8619,-0.9861,0
Arable and veg sub 50cm,5,1.7942,-0.9943,1.7942,-0.9943,0
Arable and veg sub 50cm,6,1.6314,-0.9861,1.6314,-0.9861,0
Arable and veg sub 50cm,7,1.5784,-0.9811,1.5784,-0.9811,0
Arable and veg sub 50cm,8,1.5119,-0.9832,1.5119,-0.9832,0
Hops,1,58.247,-1.0042,8654.9,-2.8354,15.3
Hops,2,66.243,-1.2001,5555.3,-2.8231,15.3
Hops,3,60.397,-1.2132,4060.9,-2.7625,15.1
Hops,4,58.559,-1.2171,3670.4,-2.7619,14.6
Hops,5,59.548,-1.2481,2860.6,-2.7036,14.3
Hops,6,60.136,-1.2699,2954,-2.7269,14.5
Hops,7,59.774,-1.2813,3191.6,-2.7665,14.6
Hops,8,53.2,-1.2469,3010.1,-2.7549,14.6
Vines late and veg over 50cm,1,44.769,-1.5643,44.769,-1.5643,0
Vines late and veg over 50cm,2,40.262,-1.5771,40.262,-1.5771,0
Vines late and veg over 50cm,3,39.314,-1.5842,39.314,-1.5842,0
Vines late and veg over 50cm,4,37.401,-1.5746,37.401,-1.5746,0
Vines late and veg over 50cm,5,37.767,-1.5829,37.767,-1.5829,0
Vines late and veg over 50cm,6,36.908,-1.5905,36.908,-1.5905,0
Vines late and veg over 50cm,7,35.498,-1.5844,35.498,-1.5844,0
Vines late and veg over 50cm,8,35.094,-1.5819,35.094,-1.5819,0
Vines early,1,15.793,-1.608,15.793,-1.608,0
Vines early,2,15.461,-1.6599,15.461,-1.6599,0
Vines early,3,16.887,-1.7223,16.887,-1.7223,0
Vines early,4,16.484,-1.7172,16.484,-1.7172,0
Vines early,5,15.648,-1.7072,15.648,-1.7072,0
Vines early,6,15.119,-1.6999,15.119,-1.6999,0
Vines early,7,14.675,-1.6936,14.675,-1.6936,0
Vines early,8,14.948,-1.7177,14.948,-1.7177,0
Pome late,1,60.396,-1.2249,210.7,-1.7599,10.3
Pome late,2,42.002,-1.1306,298.76,-1.9464,11.1
Pome late,3,40.12,-1.1769,247.78,-1.9299,11.2
Pome late,4,36.273,-1.1616,201.98,-1.8769,11
Pome late,5,34.591,-1.1533,197.08,-1.8799,11
Pome late,6,31.64,-1.1239,228.69,-1.9519,10.9
Pome late,7,31.561,-1.1318,281.84,-2.0087,12.1
Pome late,8,29.136,-1.1048,256.33,-1.9902,11.7
Pome early,1,66.702,-0.752,3867.9,-2.4183,11.4
Pome early,2,62.272,-0.8116,7961.7,-2.6854,13.3
Pome early,3,58.796,-0.8171,9598.8,-2.7706,13.6
Pome early,4,58.947,-0.8331,8609.8,-2.7592,13.3
Pome early,5,58.111,-0.8391,7684.6,-2.7366,13.1
Pome early,6,58.829,-0.8644,7065.6,-2.7323,13
Pome early,7,59.912,-0.8838,7292.9,-2.7463,13.2
Pome early,8,59.395,-0.8941,7750.9,-2.7752,13.3
Aerial,1,50.47,-0.3819,281.1,-0.9989,16.2
